,Time,Emotions
0,0,1
1,1,2
2,1,3
3,1,4
4,1,5
5,1,-1
6,1,-2
7,1,-3
8,1,-4
9,1,-5
10,1,-4
11,1,-5
12,1,-6
13,1,-5
14,1,-6
15,1,-7
16,1,-6
17,1,-5
18,1,-4
19,1,-5
20,1,-6
21,1,-5
22,1,-4
23,1,-5
24,1,-4
25,1,-3
26,1,-2
27,1,-1
28,1,0
29,1,1
30,1,2
31,1,3
32,1,4
33,1,5
34,1,4
35,1,5
36,1,4
37,1,5
38,1,6
39,1,7
40,1,8
41,1,9
42,1,10
43,1,11
44,1,12
45,1,13
46,1,14
47,1,13
48,1,12
49,1,13
50,1,14
51,1,15
52,1,16
53,1,17
54,1,18
55,1,19
56,1,20
57,1,21
58,1,22
59,1,23
60,1,24
61,1,25
62,1,26
63,1,27
64,1,28
65,1,29
66,1,28
67,1,27
68,1,26
69,1,25
70,1,24
71,1,0
72,1,-1
73,1,-2
74,1,-3
75,1,-4
76,1,-5
77,1,-6
78,1,-7
79,1,-6
80,1,-5
81,1,-6
82,1,-7
83,1,-6
84,1,-5
85,1,-6
86,1,-7
87,1,-8
88,1,-7
89,1,-6
90,1,-5
91,1,-4
92,1,-3
93,1,-2
94,1,-1
95,1,-2
96,1,-3
97,1,-4
98,1,-5
99,1,-6
100,1,-7
101,1,-8
102,1,-9
103,1,-10
104,1,-11
105,1,-12
106,1,-13
107,1,-12
108,1,-13
109,1,-14
110,1,-15
111,1,-16
112,1,-17
113,1,-18
114,1,-19
115,1,-20
116,1,-19
117,1,-18
118,1,-17
119,1,-16
120,1,-15
121,1,-14
122,1,-13
123,1,-12
124,1,-13
125,1,-12
126,1,-11
127,1,-12
128,1,-13
129,1,-14
130,1,-15
131,1,-16
132,1,-17
133,1,-18
134,1,-19
135,1,-20
136,1,-21
137,1,-22
138,1,-23
139,1,0
140,1,-1
141,1,0
142,1,1
143,1,2
144,1,3
145,1,4
146,1,3
147,1,2
148,1,1
149,1,0
150,1,-1
151,1,0
152,1,-1
153,1,-2
154,1,-3
155,1,-4
156,1,-5
157,1,-6
158,1,-7
159,1,-8
160,1,-7
161,1,-8
162,1,-9
163,1,-10
164,1,-11
165,1,-12
166,1,-13
167,1,-14
168,1,-15
169,1,-16
170,1,-15
171,1,-14
172,1,-13
173,1,-12
174,1,-11
175,1,-10
176,1,-11
177,1,-12
178,1,-13
179,1,-14
180,1,-15
181,1,-16
182,1,-17
183,1,-18
184,1,-19
185,1,-20
186,1,-21
187,1,-22
188,1,-23
189,1,-24
190,1,-25
191,1,-26
192,1,-27
193,1,-28
194,1,-29
195,1,-30
196,1,-31
197,1,-32
198,1,-33
199,1,-34
200,1,-35
201,1,-34
202,1,-35
203,1,-36
204,1,-37
205,1,-38
206,1,-39
207,1,-40
208,1,-39
209,1,-38
210,1,-37
211,1,-36
212,1,-35
213,1,-34
214,1,-33
215,1,-32
216,1,-31
217,1,-30
218,1,-29
219,1,-28
220,1,-27
221,1,-26
222,1,-25
223,1,-24
224,1,-23
225,1,-22
226,1,-23
227,1,-24
228,1,-25
229,1,-26
230,1,-27
231,1,-26
232,1,-25
233,1,-24
234,1,-23
235,1,-22
236,1,-21
237,1,-22
238,1,-23
239,1,-22
240,1,-21
241,1,-22
242,1,-23
243,1,-24
244,1,-25
245,1,-26
246,1,-27
247,1,-28
248,1,-29
249,1,-30
250,1,-31
251,1,-32
252,1,-33
253,1,-32
254,1,-31
255,1,-32
256,1,-31
257,1,-30
258,1,-31
259,1,-30
260,1,-29
261,1,-28
262,1,-27
263,1,-26
264,1,-25
265,1,-26
266,1,-27
267,1,-28
268,1,-27
269,1,-28
270,1,-29
271,1,-28
272,1,-27
273,1,-26
274,1,-25
275,1,-24
276,1,-23
277,1,-22
278,1,-21
279,1,-20
280,1,-19
281,1,-18
282,1,-19
283,1,-20
284,1,-21
285,1,-22
286,1,-23
287,1,-24
288,1,-25
289,1,-26
290,1,-27
291,1,-28
292,1,-29
293,1,-30
294,1,-31
295,1,-32
296,1,-33
297,1,-32
298,1,-31
299,1,-32
300,1,-33
301,1,-34
302,1,-35
303,1,-36
304,1,-37
305,1,-36
306,1,-37
307,1,-38
308,1,-39
309,1,-40
310,1,-41
311,1,-42
312,1,-41
313,1,-42
314,1,-41
315,1,-40
316,1,-41
317,1,-40
318,1,-39
319,1,-38
320,1,-39
321,1,-38
322,1,-39
323,1,-40
324,1,-41
325,1,-42
326,1,-43
327,1,-44
328,1,-45
329,1,-44
330,1,-45
331,1,-46
332,1,-47
333,1,-48
334,1,-49
335,1,0
336,1,-1
337,1,-2
338,1,-1
339,1,-2
340,1,-1
341,1,-2
342,1,-3
343,1,-4
344,1,-5
345,1,-6
346,1,-7
347,1,-8
348,1,-9
349,1,-10
350,1,-11
351,1,-12
352,1,-13
353,1,-14
354,1,-15
355,1,-16
356,1,-17
357,1,-18
358,1,-19
359,1,-20
360,1,0
361,1,1
362,1,0
363,1,-1
364,1,0
365,1,0
366,1,0
367,1,0
368,1,0
369,1,0
370,1,0
371,1,0
372,1,-1
373,1,-2
374,1,-3
375,1,-4
376,1,-5
377,1,-4
378,1,-3
379,1,-2
380,1,-1
381,1,0
382,1,1
383,1,2
384,1,3
385,1,4
386,1,5
387,1,6
388,1,7
389,1,8
390,1,9
391,1,10
392,1,0
393,1,-1
394,1,0
395,1,-1
396,1,-2
397,1,0
398,1,0
399,1,-1
